,algorithm,tolerance1,T,x0,xmin,fmin,iterations,time
0,Nelder-mead,1e-05,0.01,[ 0.39 -1.05  0.1   2.45],[ 0.   -0.03  0.38  2.55],2465.94,415,0.017008066177368164
1,Nelder-mead,1e-05,0.1,[-3.06 -3.38  2.67 -0.84],[ 0.   -0.04  0.88 -4.19],2806.28,446,0.017707347869873047
2,Nelder-mead,1e-05,1.0,[4.42 3.87 2.23 1.43],[ 0.   -0.03  0.47  1.24],2494.17,444,0.017372846603393555
3,Nelder-mead,1e-05,10.0,[ 3.89 -2.64  3.82  1.5 ],[ 0.   -0.02  0.08  6.39],2486.91,416,0.01595926284790039
4,Nelder-mead,1e-05,30.0,[0.86 4.83 0.14 1.12],[ 0.   -0.02  0.37  2.4 ],2468.18,399,0.015398740768432617
5,Nelder-mead,1e-05,50.0,[-4.41  1.   -3.35 -1.37],[ 0.   -0.04  0.91 -4.78],2859.57,390,0.014918804168701172
6,Nelder-mead,1e-05,100.0,[-0.87  1.68 -1.54 -1.44],[ 0.   -0.04  0.93 -5.16],2896.65,469,0.017500877380371094
7,Nelder-mead,0.0001,0.01,[4.6  2.91 0.32 3.72],[ 0.   -0.03  0.52  1.14],2503.21,458,0.018262624740600586
8,Nelder-mead,0.0001,0.1,[ 4.17  2.63 -3.67 -3.25],[  0.    -0.05   1.56 -13.95],4163.96,425,0.01647019386291504
9,Nelder-mead,0.0001,1.0,[-0.18 -0.41 -1.62  0.7 ],[ 0.   -0.03  0.61 -0.61],2566.11,474,0.01773667335510254
10,Nelder-mead,0.0001,10.0,[-1.12  2.05 -4.45 -3.43],[  0.    -0.04   1.35 -10.65],3587.45,394,0.015302896499633789
11,Nelder-mead,0.0001,30.0,[-1.87  1.21 -4.23 -3.36],[  0.    -0.05   1.42 -11.68],3753.86,415,0.016025066375732422
12,Nelder-mead,0.0001,50.0,[-1.27 -0.19 -4.41  4.99],[ 0.    0.   -1.05 21.43],4079.5,472,0.017676353454589844
13,Nelder-mead,0.0001,100.0,[ 4.47  1.66 -4.36  3.78],[ 0.   -0.02 -0.13  9.06],2594.13,436,0.01769280433654785
14,Nelder-mead,0.001,0.01,[-1.16 -2.74 -1.2   4.13],[ 0.   -0.02  0.28  3.83],2455.96,471,0.018040180206298828
15,Nelder-mead,0.001,0.1,[ 2.45 -1.87 -4.13 -0.6 ],[ 0.   -0.02  0.21  4.64],2457.79,433,0.01651144027709961
16,Nelder-mead,0.001,1.0,[-2.59  4.97  2.43 -3.63],[  0.    -0.08   3.03 -29.83],8666.45,452,0.016957521438598633
17,Nelder-mead,0.001,10.0,[ 0.5  -1.58  3.35 -3.39],[  0.    -0.05   1.56 -12.23],3866.36,471,0.017333269119262695
18,Nelder-mead,0.001,30.0,[ 0.3  -0.68 -2.69  3.11],[ 0.   -0.02  0.23  4.33],2456.0,367,0.014019489288330078
19,Nelder-mead,0.001,50.0,[-1.83 -4.17  3.57 -4.71],[ 0.   -0.04  0.92 -5.06],2887.42,470,0.018156051635742188
20,Nelder-mead,0.001,100.0,[0.39 0.64 3.95 5.  ],[ 0.000e+00 -1.000e-02 -3.900e-01  1.339e+01],2956.81,477,0.0179898738861084
21,Nelder-mead,0.01,0.01,[-1.81  1.22 -4.24  3.87],[  0.    -0.1    3.98 -46.64],16079.78,435,0.01668524742126465
22,Nelder-mead,0.01,0.1,[ 0.63 -3.11 -4.75 -1.6 ],[ 0.   -0.02  0.24  3.78],2461.04,479,0.017606496810913086
23,Nelder-mead,0.01,1.0,[-2.97 -4.22 -3.09 -0.52],[ 0.   -0.03  0.71 -2.05],2646.17,442,0.01967144012451172
24,Nelder-mead,0.01,10.0,[-3.76  4.35 -3.86 -1.34],[ 0.   -0.03  0.8  -3.14],2721.49,388,0.015295982360839844
25,Nelder-mead,0.01,30.0,[-4.51 -1.18  1.12 -3.08],[ 0.   -0.04  1.25 -6.55],3164.11,252,0.010336875915527344
